sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS4233928	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4233937	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4233940	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4234016	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4246520	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4246523	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4246560	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4246562	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4246563	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4246564	46.51	-71.21	sample_lat_lon	46.51 N 71.21 W	sample_lat_lon	46.51 N 71.21 W
SRS4347041	68.3532	19.0469	sample_lat_lon	68.3532 N 19.0469 E	sample_lat_lon	68.3532 N 19.0469 E
SRS4347517	68.3532	19.0469	sample_lat_lon	68.3532 N 19.0469 E	sample_lat_lon	68.3532 N 19.0469 E
SRS4352690	57.42175	16.666967	sample_lat_lon	57.421750 N 16.666967 E	sample_lat_lon	57.421750 N 16.666967 E
SRS4445500	35.939	104.156	sample_lat_lon	35.939 N 104.156 E	sample_lat_lon	35.939 N 104.156 E
SRS4445501	35.939	104.156	sample_lat_lon	35.939 N 104.156 E	sample_lat_lon	35.939 N 104.156 E
SRS4464227	37.478604	99.004927	sample_lat_lon	37.478604 N 99.004927 E	sample_lat_lon	37.478604 N 99.004927 E
SRS4464228	37.464779	98.562608	sample_lat_lon	37.464779 N 98.562608 E	sample_lat_lon	37.464779 N 98.562608 E
SRS4464241	37.491002	98.428407	sample_lat_lon	37.491002 N 98.428407 E	sample_lat_lon	37.491002 N 98.428407 E
SRS4549264	-71.96589	23.33311	sample_lat_lon	71.96589 S 23.33311 E	sample_lat_lon	71.96589 S 23.33311 E
SRS4578485	36.73	-3.55	sample_lat_lon	36.73 N 3.55 W	sample_lat_lon	36.73 N 3.55 W
SRS4591169	51.14	10.38	sample_lat_lon	51.14 N 10.38 E	sample_lat_lon	51.14 N 10.38 E
SRS4615155	60.206376371	24.656728549	sample_lat_lon	60.206376371 N 24.656728549 E	sample_lat_lon	60.206376371 N 24.656728549 E
SRS4615182	60.206376371	24.656728549	sample_lat_lon	60.206376371 N 24.656728549 E	sample_lat_lon	60.206376371 N 24.656728549 E
SRS4615266	61.0	25.65	sample_lat_lon	61.00 N 25.65 E	sample_lat_lon	61.00 N 25.65 E
SRS4651462	36.32	74.4	sample_lat_lon	36.32 N 74.40 E	sample_lat_lon	36.32 N 74.40 E
SRS4739292	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739437	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739605	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739647	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739752	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739765	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4739888	59.5505	17.2049	sample_lat_lon	59.5505 N 17.2049 E	sample_lat_lon	59.5505 N 17.2049 E
SRS4865775	37.18111111	-3.60805556	sample_lat_lon	37.18111111 N 3.60805556 W	sample_lat_lon	37.18111111 N 3.60805556 W
SRS4980321	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4980358	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4980599	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4980603	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4980825	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4989155	43.91924	-72.28637	sample_lat_lon	43.91924 N 72.28637 W	sample_lat_lon	43.91924 N 72.28637 W
SRS5014807	43.34	-1.45	sample_latitude and longitude	43.34 N 1.45 W	sample_latitude and longitude	43.34 N 1.45 W
SRS5014814	53.835497	10.703497	sample_latitude and longitude	53.835497 N 10.703497 E	sample_latitude and longitude	53.835497 N 10.703497 E
SRS6297114	54.160572	10.434145	sample_latitude and longitude	54.160572 N 10.434145 E	sample_latitude and longitude	54.160572 N 10.434145 E
